week,project_key,tracker,project,unit_type,sold,seen
2026-08-12,straits-view-duo,johor,The Straits View Duo,A,128,378
2026-08-12,straits-view-duo,johor,The Straits View Duo,A1,4,8
2026-08-12,straits-view-duo,johor,The Straits View Duo,A2,1,2
2026-08-12,straits-view-duo,johor,The Straits View Duo,B,76,160
2026-08-12,straits-view-duo,johor,The Straits View Duo,B1,21,53
2026-08-12,straits-view-duo,johor,The Straits View Duo,B2,3,4
2026-08-12,straits-view-duo,johor,The Straits View Duo,C,61,108
2026-08-12,straits-view-duo,johor,The Straits View Duo,C1,2,2
2026-08-12,permas-heights,johor,Permas Heights,A,307,600
2026-08-12,permas-heights,johor,Permas Heights,B,329,600
2026-08-12,permas-heights,johor,Permas Heights,C,301,750
2026-08-12,parkland-phase-1,johor,Parkland by the River,A,129,180
2026-08-12,parkland-phase-1,johor,Parkland by the River,B,265,418
2026-08-12,parkland-phase-1,johor,Parkland by the River,C,272,480
2026-08-12,parkland-phase-2,johor,Parkland by the River,A,86,178
2026-08-12,parkland-phase-2,johor,Parkland by the River,B,177,420
2026-08-12,parkland-phase-2,johor,Parkland by the River,C,123,480
2026-08-13,straits-view-duo,johor,The Straits View Duo,A,128,378
2026-08-13,straits-view-duo,johor,The Straits View Duo,A1,4,8
2026-08-13,straits-view-duo,johor,The Straits View Duo,A2,1,2
2026-08-13,straits-view-duo,johor,The Straits View Duo,B,76,160
2026-08-13,straits-view-duo,johor,The Straits View Duo,B1,21,53
2026-08-13,straits-view-duo,johor,The Straits View Duo,B2,3,4
2026-08-13,straits-view-duo,johor,The Straits View Duo,C,61,108
2026-08-13,straits-view-duo,johor,The Straits View Duo,C1,2,2
2026-08-13,permas-heights,johor,Permas Heights,A,307,600
2026-08-13,permas-heights,johor,Permas Heights,B,330,600
2026-08-13,permas-heights,johor,Permas Heights,C,301,750
2026-08-13,parkland-phase-1,johor,Parkland by the River,A,129,180
2026-08-13,parkland-phase-1,johor,Parkland by the River,B,265,418
2026-08-13,parkland-phase-1,johor,Parkland by the River,C,272,480
2026-08-13,parkland-phase-2,johor,Parkland by the River,A,86,178
2026-08-13,parkland-phase-2,johor,Parkland by the River,B,177,420
2026-08-13,parkland-phase-2,johor,Parkland by the River,C,123,480
2026-08-14,straits-view-duo,johor,The Straits View Duo,A,129,378
2026-08-14,straits-view-duo,johor,The Straits View Duo,A1,4,8
2026-08-14,straits-view-duo,johor,The Straits View Duo,A2,1,2
2026-08-14,straits-view-duo,johor,The Straits View Duo,B,76,160
2026-08-14,straits-view-duo,johor,The Straits View Duo,B1,21,53
2026-08-14,straits-view-duo,johor,The Straits View Duo,B2,3,4
2026-08-14,straits-view-duo,johor,The Straits View Duo,C,61,108
2026-08-14,straits-view-duo,johor,The Straits View Duo,C1,2,2
